drug_id,drug_name,target_id,target_uniprot,target_name,target_gene,action,atc_codes
DB00001,Lepirudin,,P00734,Prothrombin,F2,inhibitor,B01AE02
DB00002,Cetuximab,,P00533,Epidermal growth factor receptor,EGFR,binder,L01FE01
DB00002,Cetuximab,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,binder,L01FE01
DB00002,Cetuximab,,P02745,Complement C1q subcomponent subunit A,C1QA,binder,L01FE01
DB00002,Cetuximab,,P02746,Complement C1q subcomponent subunit B,C1QB,binder,L01FE01
DB00002,Cetuximab,,P02747,Complement C1q subcomponent subunit C,C1QC,binder,L01FE01
DB00002,Cetuximab,,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,binder,L01FE01
DB00002,Cetuximab,,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,binder,L01FE01
DB00002,Cetuximab,,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,binder,L01FE01
DB00003,Dornase alfa,,,DNA,,,R05CB13
DB00004,Denileukin diftitox,,P01589,Interleukin-2 receptor subunit alpha,IL2RA,binder,L01XX29
DB00004,Denileukin diftitox,,P14784,Interleukin-2 receptor subunit beta,IL2RB,agonist,L01XX29
DB00004,Denileukin diftitox,,P31785,Cytokine receptor common subunit gamma,IL2RG,,L01XX29
DB00005,Etanercept,,P01375,Tumor necrosis factor,TNF,inhibitor,L04AB01
DB00005,Etanercept,,P01375,Tumor necrosis factor,TNF,antibody,L04AB01
DB00005,Etanercept,,P01374,Lymphotoxin-alpha,LTA,antibody,L04AB01
DB00005,Etanercept,,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,ligand,L04AB01
DB00005,Etanercept,,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,ligand,L04AB01
DB00005,Etanercept,,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,ligand,L04AB01
DB00005,Etanercept,,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,ligand,L04AB01
DB00005,Etanercept,,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,ligand,L04AB01
DB00005,Etanercept,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,ligand,L04AB01
DB00005,Etanercept,,P02745,Complement component 1q (C1q),C1QA,ligand,L04AB01
DB00006,Bivalirudin,,P00734,Prothrombin,F2,inhibitor,B01AE06
DB00007,Leuprolide,,P30968,Gonadotropin-releasing hormone receptor,GNRHR,agonist,L02AE51;L02AE02
DB00008,Peginterferon alfa-2a,,P48551,Interferon alpha/beta receptor 2,IFNAR2,agonist,L03AB11;L03AB61
DB00008,Peginterferon alfa-2a,,P17181,Interferon alpha/beta receptor 1,IFNAR1,agonist,L03AB11;L03AB61
DB00009,Alteplase,,P00747,Plasminogen,PLG,activator,B01AD02;S01XA13
DB00009,Alteplase,,P02671,Fibrinogen alpha chain,FGA,binder,B01AD02;S01XA13
DB00009,Alteplase,,P02679,Fibrinogen gamma chain,FGG,binder,B01AD02;S01XA13
